job title,company name,location,skills,links,salary,responsibilites,date
Sustainability Data Analyst,Future FM -,"Dubai, United Arab Emirates ","Sustainability Data AnalystFuture FM - Dubai, United Arab Emirates 1 month agoFull TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel",https://wuzzuf.net/jobs/p/g/vodibhtyxoub-sustainability-data-analyst-future-fm-dubai-united-arab-emirates,Experience Needed:,No requirements listed,1 month ago
Professional Services Consultant,NetApp -,"Riyadh, Saudi Arabia ","Professional Services ConsultantNetApp - Riyadh, Saudi Arabia 1 month agoFull TimeExperienced · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Microsoft Office · Accounting · Finance · Commerce · Customer Care",https://wuzzuf.net/saudi/jobs/p/g/y4xvyccpvw9z-professional-services-consultant-netapp-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Technology Enablement AI Engineer,"Super Micro Computer Spain, S.L. -","Dubai, United Arab Emirates ","Technology Enablement AI EngineerSuper Micro Computer Spain, S.L. - Dubai, United Arab Emirates 1 month agoFull TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · computer engineering · software development · python · docker · sales",https://wuzzuf.net/jobs/p/g/5vaonchcekus-technology-enablement-ai-engineer-super-micro-computer-spain-s-l-dubai-united-arab-emirates,Experience Needed:,No requirements listed,1 month ago
Odoo Developer,Covertina Egypt  -,"Obour City, Cairo, Egypt ","Odoo DeveloperCovertina Egypt  - Obour City, Cairo, Egypt 3 months agoFull TimeOn-siteExperienced · 5 - 10 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Python Programming · ERP Implementation · API Integration · PostgreSQL · Software Debugging · Business Process Analysis · Technical Documentation",https://wuzzuf.net/jobs/p/rutxg3o4wzyd-odoo-developer-covertina-egypt-cairo-egypt,Experience Needed:,"Minimum 5-10 years of hands-on experience in Odoo development and customization. | Proven expertise in Python programming and Odoo framework. | Strong understanding of business processes and ERP systems. | Experience with PostgreSQL or similar relational databases. | Ability to work independently and collaboratively within a team environment. | Excellent problem-solving and analytical skills. | Strong communication skills to interact with technical and non-technical stakeholders. | Familiarity with front-end technologies such as JavaScript, HTML, and CSS is a plus. | Experience in integrating Odoo with external systems via APIs. | Ability to manage multiple tasks and prioritize effectively in a fast-paced environment.",3 months ago
Reliability Engineer,Sadara Chemical Company -,"Riyadh, Saudi Arabia ","Reliability EngineerSadara Chemical Company - Riyadh, Saudi Arabia 1 month agoFull TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · AWS · Computer Science · Information Technology (IT) · Mechanical Engineering · DevOps · Electrical Engineering",https://wuzzuf.net/saudi/jobs/p/g/hucqfxnfb16o-reliability-engineer-sadara-chemical-company-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Automation Specialist  - Intelligent Automation & AI (Remote),Saudi Diesel Equipment Company -,"Riyadh, Saudi Arabia ","Automation Specialist  - Intelligent Automation & AI (Remote)Saudi Diesel Equipment Company - Riyadh, Saudi Arabia 1 month agoFull TimeEntry Level · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · computer science · information technology (it) · marketing · engineering · sql · testing · python",https://wuzzuf.net/saudi/jobs/p/g/o63s7cuo2niu-automation-specialist-intelligent-automation-ai-remote-saudi-diesel-equipment-company-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
"Data Analyst, Languages /Content (Bangkok-based, Relocation provided)",Agoda -,"Riyadh, Saudi Arabia ","Data Analyst, Languages /Content (Bangkok-based, Relocation provided)Agoda - Riyadh, Saudi Arabia 1 month agoFull TimeEntry Level · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · information technology (it) · marketing · computer science · social media · analysis · sql · engineering",https://wuzzuf.net/saudi/jobs/p/g/ftxjdo95qfrv-data-analyst-languages-content-bangkok-based-relocation-provided-agoda-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Process Engineer - Desal (WET IC),Larsen & Toubro -,"Riyadh, Saudi Arabia ","Process Engineer - Desal (WET IC)Larsen & Toubro - Riyadh, Saudi Arabia 1 month agoFull TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development",https://wuzzuf.net/saudi/jobs/p/g/bz3j4anuqnqo-process-engineer-desal-wet-ic-larsen-toubro-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Process Engineer - Industrial (WET IC),Larsen & Toubro -,"Riyadh, Saudi Arabia ","Process Engineer - Industrial (WET IC)Larsen & Toubro - Riyadh, Saudi Arabia 1 month agoFull TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development",https://wuzzuf.net/saudi/jobs/p/g/m5sfmftuyz8t-process-engineer-industrial-wet-ic-larsen-toubro-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
DevOps Engineer,Capgemini Engineering -,"Riyadh, Saudi Arabia ","DevOps EngineerCapgemini Engineering - Riyadh, Saudi Arabia 1 month agoFull TimeExperienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Software Development · Software Engineering · Engineering · Computer Engineering",https://wuzzuf.net/saudi/jobs/p/g/ly1f3qkpt31w-devops-engineer-capgemini-engineering-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Data Engineer,Capgemini Engineering -,"Riyadh, Saudi Arabia ","Data EngineerCapgemini Engineering - Riyadh, Saudi Arabia 1 month agoFull TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL",https://wuzzuf.net/saudi/jobs/p/g/rpshu7yvutug-data-engineer-capgemini-engineering-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Data Scientist,Capgemini Engineering -,"Riyadh, Saudi Arabia ","Data ScientistCapgemini Engineering - Riyadh, Saudi Arabia 1 month agoFull TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning",https://wuzzuf.net/saudi/jobs/p/g/bavbi7bcjlft-data-scientist-capgemini-engineering-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
Robotics Engineer,Expert Hub Robotics -,"Dubai, United Arab Emirates ","Robotics EngineerExpert Hub Robotics - Dubai, United Arab Emirates 1 month agoFull TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Computer Science · Robotics · Engineering · RPA · Information Technology (IT) · Blue Prism · Computer Engineering",https://wuzzuf.net/jobs/p/g/8ln4jxadv2mp-robotics-engineer-expert-hub-robotics-dubai-united-arab-emirates,Experience Needed:,No requirements listed,1 month ago
Confluent Kafka Engineer,Dicetek LLC -,"Dubai, United Arab Emirates ","Confluent Kafka EngineerDicetek LLC - Dubai, United Arab Emirates 1 month agoFreelance / ProjectEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer science · information technology (it) · software development · java · kafka · python · aws",https://wuzzuf.net/jobs/p/g/qe3bvddwxvqa-confluent-kafka-engineer-dicetek-llc-dubai-united-arab-emirates,Experience Needed:,No requirements listed,1 month ago
Director- Enterprise Risk (CDU3) -,Glow Beauty on Demand -,"Riyadh, Saudi Arabia ","Director- Enterprise Risk (CDU3) -Glow Beauty on Demand - Riyadh, Saudi Arabia 1 month agoFull TimeManager · Accounting/Finance · Banking · IT/Software Development · Information Technology (IT) · Computer Science · Finance · Accounting · Commerce · Linux · Microsoft Office",https://wuzzuf.net/saudi/jobs/p/g/i8u8bh08ijle-director-enterprise-risk-cdu3-glow-beauty-on-demand-riyadh-saudi-arabia,Experience Needed:,No requirements listed,1 month ago
